Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
143B	Yes	Bone cancer	Osteosarcoma	Primary	13	Bone	CVCL_2270
22Rv1	Yes	Prostate cancer	Adenocarcinoma	Primary	Male	Prostate	CVCL_1045
23132/87	Yes	Gastric cancer	Adenocarcinoma	Primary	Male, 72	Stomach	CVCL_1046
253J	Yes	Bladder cancer	Carcinoma	Metastasis	Male, 53	Lymph node	CVCL_7935
253J-BV	Yes	Bladder cancer	Carcinoma	Metastasis	Male, 53	Lymph node	CVCL_7937
42-MG-BA	Yes	Brain cancer	Astrocytoma	Primary	Male, 63	Central nervous system	CVCL_1798
537-mel	Yes	Skin cancer	Melanoma				CVCL_8052
5637	Yes	Bladder cancer			Male, 68	Urinary tract	CVCL_0126
59M	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female, 65	Ascites	CVCL_2291
624-mel	Yes	Skin cancer	Melanoma				CVCL_8054
639V	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Male, 69	Urinary tract	CVCL_1048
647V	Yes	Bladder cancer	Carcinoma	Primary	Male, 59	Urinary tract	CVCL_1049
697	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	Primary	Male, 12	Bone marrow	CVCL_0079
769-P	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Female, 63	Kidney	CVCL_1050
786-O	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Male, 58	Kidney	CVCL_1051
8-MG-BA	Yes	Brain cancer	Astrocytoma	Primary	Female, 54	Central nervous system	CVCL_1052
8305C	Yes	Thyroid cancer	Carcinoma	Primary	Female, 67	Thyroid	CVCL_1053
8505C	Yes	Thyroid cancer	Carcinoma	Primary	Female, 78	Thyroid	CVCL_1054
888-mel	Yes	Skin cancer	Melanoma	Metastasis			CVCL_4632
A-1207	Yes	Brain cancer	Glioblastoma		Female	Central nervous system	CVCL_8481
A-172	Yes	Brain cancer	Glioblastoma	Primary	Male, 53	Central nervous system	CVCL_0131
A-204	Yes	Rhabdoid	Malignant Rhabdoid Tumor	Primary	Female, 1	Soft tissue	CVCL_1058
A-253	Yes	Head and Neck cancer	Squamous Cell Carcinoma, salivary gland	Primary	Male, 54	Upper aerodigestive tract	CVCL_1060
A-375	Yes	Skin cancer	Melanoma	Primary	Female, 54	Skin	CVCL_0132
A-427	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma		Male, 52	Lung	CVCL_1055
A-431	Yes	Skin cancer		Primary	Female, 85	Skin	CVCL_0037
A-498	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Female, 52	Kidney	CVCL_1056
A-549	Yes	Lung cancer		Primary	Male, 58	Lung	CVCL_0023
